,date,value,ub,lb,std
0,11/01/2021,1025.6851851851852,1123.020205989503,928.3501643808676,97.3350208043177
1,11/02/2021,1080.0740740740741,1184.413610631897,975.7345375162513,104.33953655782278
2,11/03/2021,1141.7962962962963,1254.0469333749043,1029.5456592176884,112.25063707860785
3,11/04/2021,1211.6851851851852,1332.8808598743478,1090.4895104960226,121.19567468916256
4,11/05/2021,1290.7592592592594,1422.0735613274924,1159.4449571910263,131.31430206823302
5,11/06/2021,1380.3333333333333,1523.079699904017,1237.5869667626496,142.7463665706836
6,11/07/2021,1481.2962962962963,1636.9873891344323,1325.6052034581603,155.691092838136
7,11/08/2021,1595.7962962962963,1766.1434419322907,1425.449150660302,170.3471456359943
8,11/09/2021,1725.148148148148,1912.1059103291925,1538.1903859671036,186.95776218104453
9,11/10/2021,1871.537037037037,2077.3390613046186,1665.7350127694554,205.80202426758152
10,11/11/2021,2037.4259259259259,2264.634238274032,1810.2176135778193,227.20831234810657
11,11/12/2021,2225.3888888888887,2476.9465357118656,1973.8312420659115,251.55764682297715
12,11/13/2021,2438.6111111111113,2717.8871358112765,2159.335086410946,279.27602470016535
13,11/14/2021,2680.740740740741,2991.589734672615,2369.8917468088666,310.8489939318742
14,11/15/2021,2955.685185185185,3302.510564598337,2608.8598057720333,346.8253794131518
15,11/16/2021,3268.1111111111113,3655.933982531997,2880.2882396902255,387.822871420886
16,11/17/2021,3623.4074074074074,4057.952720218886,3188.8620945959287,434.5453128114785
17,11/18/2021,4028.1913580246915,4516.102980502185,3540.279735547198,487.91162247749355
18,11/19/2021,4491.314814814815,5040.336237762631,3942.293391866999,549.0214229478156
19,11/20/2021,5023.067901234568,5642.35986752122,4403.7759349479165,619.2919662866518
20,11/21/2021,5636.666666666667,6337.106437474913,4936.226895858421,700.4397708082464
21,11/22/2021,6348.37037037037,7142.937588648007,5553.803152092734,794.5672182776359
22,11/23/2021,7177.191358024691,8081.434028059531,6272.948687989851,904.2426700348399
23,11/24/2021,8147.259259259259,9179.821583623398,7114.696934895121,1032.5623243641382
24,11/25/2021,9287.086419753086,10470.35500986063,8103.817829645543,1183.2685901075436
25,11/26/2021,10630.339506172839,11991.166382150808,9269.51263019487,1360.82687597797
26,11/27/2021,12216.938271604939,13787.42653649504,10646.450006714836,1570.488264890103
27,11/28/2021,14094.24074074074,15912.705176114112,12275.77630536737,1818.4644353733702
28,11/29/2021,16317.567901234568,18429.54254143685,14205.593261032283,2111.9746402022843
29,11/30/2021,18950.734567901236,21410.078058859828,16491.391076942644,2459.343490958593
30,12/01/2021,22066.58024691358,24936.65577968956,19196.5047141376,2870.0755327759807
31,12/02/2021,25747.802469135804,29102.733146040864,22392.871792230744,3354.93067690506
32,12/03/2021,30086.833333333332,34012.88572188497,26160.780944781694,3926.0523885516386
33,12/04/2021,35186.43827160494,39783.58427604658,30589.29226716329,4597.146004441644
34,12/05/2021,41159.78395061728,46543.6075265761,35775.96037465846,5383.823575958818
35,12/06/2021,48131.253086419754,54435.46430682067,41827.04186601884,6304.2112204009145
36,12/07/2021,56237.32716049383,63617.3372588903,48857.317062097354,7380.010098396477
37,12/08/2021,65628.93209876544,74267.0270583584,56990.837139172465,8638.09495959297
38,12/09/2021,76475.07407407407,86588.02996651853,66362.11818162962,10112.955892444457
39,12/10/2021,88968.14197530864,100818.16564689981,77118.11830371746,11850.023671591176
40,12/11/2021,103331.58641975309,117241.53508634225,89421.63775316393,13909.948666589153
41,12/12/2021,119829.28395061729,136202.96296802128,103455.6049332133,16373.679017404
42,12/13/2021,138774.74691358025,158122.288132425,119427.20569473553,19347.541218844723
43,12/14/2021,160537.07407407407,183503.63232781127,137570.51582033688,22966.558253737207
